OID,Id,units,length,ORIG_FID,POINT_X,POINT_Y
-1,0,granitic-qtz,35.5999985,0,325794.387867000012193,6798180.130320000462234
-1,0,granitic-qtz,35.5999985,0,325794.667696000018623,6798180.022490000352263
-1,0,granitic-qtz,35.5999985,0,325794.996912000002339,6798180.001960000023246
-1,0,granitic-qtz,35.5999985,0,325795.230680999986362,6798179.967469999566674
-1,0,granitic-qtz,35.5999985,0,325795.467415000020992,6798179.878610000014305
-1,0,granitic-qtz,35.5999985,0,325795.556614000000991,6798179.751050000078976
-1,0,granitic-qtz,35.5999985,0,325795.694178999983706,6798179.532999999821186
-1,0,granitic-qtz,35.5999985,0,325795.819541000004392,6798179.374069999903440
-1,0,granitic-qtz,35.5999985,0,325795.990465999988373,6798179.211219999939203
-1,0,granitic-qtz,35.5999985,0,325796.123191000020597,6798179.099229999817908
-1,0,granitic-qtz,35.5999985,0,325796.214699000003748,6798179.016040000133216
-1,0,granitic-qtz,35.5999985,0,325796.379988999979105,6798178.928670000284910
-1,0,granitic-qtz,35.5999985,0,325796.721836999990046,6798178.778409999795258
-1,0,granitic-qtz,35.5999985,0,325796.903453000006266,6798178.736370000056922
-1,0,granitic-qtz,35.5999985,0,325797.083557999983896,6798178.665260000154376
-1,0,granitic-qtz,35.5999985,0,325797.223537000012584,6798178.590909999795258
-1,0,granitic-qtz,35.5999985,0,325797.417600999993738,6798178.337910000234842
-1,0,granitic-qtz,35.5999985,0,325797.502862000023015,6798178.237490000203252
-1,0,granitic-qtz,35.5999985,0,325797.639742999977898,6798178.120830000378191
-1,0,granitic-qtz,35.5999985,0,325797.790014000027440,6798177.949280000291765
-1,0,granitic-qtz,35.5999985,0,325797.874592999985907,6798177.805630000308156
-1,0,granitic-qtz,35.5999985,0,325797.926406999991741,6798177.679670000448823
-1,0,granitic-qtz,35.5999985,0,325798.004527000011876,6798177.575450000353158
-1,0,granitic-qtz,35.5999985,0,325798.101769000000786,6798177.431830000132322
-1,0,granitic-qtz,35.5999985,0,325798.172412000014447,6798177.364280000329018
-1,0,granitic-qtz,35.5999985,0,325798.242856000026222,6798177.309930000454187
-1,0,granitic-qtz,35.5999985,0,325798.387630000011995,6798177.274000000208616
-1,0,granitic-qtz,35.5999985,0,325798.575567999971099,6798177.251659999601543
-1,0,granitic-qtz,35.5999985,0,325798.652216000016779,6798177.244950000196695
-1,0,granitic-qtz,35.5999985,0,325798.717781000013929,6798177.203710000030696
-1,0,granitic-qtz,35.5999985,0,325798.778843000007328,6798177.157189999707043
-1,0,granitic-qtz,35.5999985,0,325798.857620000024326,6798177.042949999682605
-1,0,granitic-qtz,35.5999985,0,325798.914622000011150,6798176.921830000355840
-1,0,granitic-qtz,35.5999985,0,325798.959680000029039,6798176.856669999659061
-1,0,granitic-qtz,35.5999985,0,325799.051543999987189,6798176.765730000101030
-1,0,granitic-qtz,35.5999985,0,325799.199131999979727,6798176.613669999875128
-1,0,granitic-qtz,35.5999985,0,325799.332960000028834,6798176.507509999908507
-1,0,granitic-qtz,35.5999985,0,325799.418020999990404,6798176.408599999733269
-1,0,granitic-qtz,35.5999985,0,325799.490825999993831,6798176.346409999765456
-1,0,granitic-qtz,35.5999985,0,325799.596391000028234,6798176.271519999951124
-1,0,granitic-qtz,35.5999985,0,325799.706856000004336,6798176.175649999640882
-1,0,granitic-qtz,35.5999985,0,325799.807119000004604,6798176.045830000191927
-1,0,granitic-qtz,35.5999985,0,325799.908376000006683,6798175.893840000033379
-1,0,granitic-qtz,35.5999985,0,325799.981319000013173,6798175.828990000300109
-1,0,granitic-qtz,35.5999985,0,325800.043119999987539,6798175.727070000022650
-1,0,granitic-qtz,35.5999985,0,325800.121936000010464,6798175.583170000463724
-1,0,granitic-qtz,35.5999985,0,325800.187977999972645,6798175.510350000113249
-1,0,granitic-qtz,35.5999985,0,325800.263282000028994,6798175.437660000286996
-1,0,granitic-qtz,35.5999985,0,325800.378467999980785,6798175.339089999906719
-1,0,granitic-qtz,35.5999985,0,325800.483834000013303,6798175.277400000020862
-1,0,granitic-qtz,35.5999985,0,325800.591642000013962,6798175.202549999579787
-1,0,granitic-qtz,35.5999985,0,325800.663081999984570,6798175.176719999872148
-1,0,granitic-qtz,35.5999985,0,325800.806177999998908,6798175.137289999984205
-1,0,granitic-qtz,35.5999985,0,325800.885524999990594,6798175.106780000030994
-1,0,granitic-qtz,35.5999985,0,325800.978753999981564,6798175.073939999565482
-1,0,granitic-qtz,35.5999985,0,325801.096239999984391,6798174.978070000186563
-1,0,granitic-qtz,35.5999985,0,325801.241190999979153,6798174.903780000284314
-1,0,granitic-qtz,35.5999985,0,325801.330055000027642,6798174.862999999895692
-1,0,granitic-qtz,35.5999985,0,325801.392655999981798,6798174.818719999864697
-1,0,granitic-qtz,35.5999985,0,325801.487166000006255,6798174.751869999803603
-1,0,granitic-qtz,35.5999985,0,325801.608751000021584,6798174.663049999624491
-1,0,granitic-qtz,35.5999985,0,325801.709939000022132,6798174.593989999964833
-1,0,granitic-qtz,35.5999985,0,325801.754443000012543,6798174.564709999598563
-1,0,granitic-qtz,35.5999985,0,325801.815981000021566,6798174.486610000021756
-1,0,granitic-qtz,35.5999985,0,325801.912644999974873,6798174.387760000303388
-1,0,granitic-qtz,35.5999985,0,325801.994790000026114,6798174.320500000379980
-1,0,granitic-qtz,35.5999985,0,325802.062933999986853,6798174.263450000435114
-1,0,granitic-qtz,35.5999985,0,325802.151099000009708,6798174.186060000211000
-1,0,granitic-qtz,35.5999985,0,325802.247601000010036,6798174.107809999957681
-1,0,granitic-qtz,35.5999985,0,325802.352292000025045,6798174.035430000163615
-1,0,granitic-qtz,35.5999985,0,325802.474696999997832,6798173.966409999877214
-1,0,granitic-qtz,35.5999985,0,325802.569322000024840,6798173.920400000177324
-1,0,granitic-qtz,35.5999985,0,325802.667629999981727,6798173.861150000244379
-1,0,granitic-qtz,35.5999985,0,325802.752373000024818,6798173.783289999701083
-1,0,granitic-qtz,35.5999985,0,325802.839175999979489,6798173.723969999700785
-1,0,granitic-qtz,35.5999985,0,325802.919119000027422,6798173.654020000249147
-1,0,granitic-qtz,35.5999985,0,325803.004499999980908,6798173.535170000046492
-1,0,granitic-qtz,35.5999985,0,325803.094645000004675,6798173.421900000423193
-1,0,granitic-qtz,35.5999985,0,325803.211779000004753,6798173.290450000204146
-1,0,granitic-qtz,35.5999985,0,325803.342732999997679,6798173.141939999535680
-1,0,granitic-qtz,35.5999985,0,325803.529946999973617,6798172.968279999680817
-1,0,granitic-qtz,35.5999985,0,325803.598528000002261,6798172.882310000248253
-1,0,granitic-qtz,35.5999985,0,325803.744474000006448,6798172.742089999839664
-1,0,granitic-qtz,35.5999985,0,325803.840760999999475,6798172.661740000359714
-1,0,granitic-qtz,35.5999985,0,325803.988613999972586,6798172.546740000136197
-1,0,granitic-qtz,35.5999985,0,325804.098928000021260,6798172.472400000318885
-1,0,granitic-qtz,35.5999985,0,325804.168966999975964,6798172.418089999817312
-1,0,granitic-qtz,35.5999985,0,325804.237559999979567,6798172.356499999761581
-1,0,granitic-qtz,35.5999985,0,325804.345287000003736,6798172.286960000172257
-1,0,granitic-qtz,35.5999985,0,325804.438774999987800,6798172.243490000255406
-1,0,granitic-qtz,35.5999985,0,325804.545525000023190,6798172.136640000157058
-1,0,granitic-qtz,35.5999985,0,325804.619262000021990,6798172.051190000027418
-1,0,granitic-qtz,35.5999985,0,325804.692712999996729,6798171.990170000120997
-1,0,granitic-qtz,35.5999985,0,325804.854303999978583,6798171.873739999718964
-1,0,granitic-qtz,35.5999985,0,325804.986100999987684,6798171.798200000077486
-1,0,granitic-qtz,35.5999985,0,325805.120213999995030,6798171.694790000095963
-1,0,granitic-qtz,35.5999985,0,325805.185791000025347,6798171.637609999626875
-1,0,granitic-qtz,35.5999985,0,325805.288737000024412,6798171.581199999898672
-1,0,granitic-qtz,35.5999985,0,325805.453315999999177,6798171.533579999580979
-1,0,granitic-qtz,35.5999985,0,325805.607417999999598,6798171.496340000070632
-1,0,granitic-qtz,35.5999985,0,325805.742451000027359,6798171.442560000345111
-1,0,granitic-qtz,35.5999985,0,325805.864059999992605,6798171.400019999593496
-1,0,granitic-qtz,35.5999985,0,325805.959751999995206,6798171.377340000122786
-1,0,granitic-qtz,35.5999985,0,325806.091345000022557,6798171.340819999575615
-1,0,granitic-qtz,35.5999985,0,325806.346959999995306,6798171.230519999749959
-1,0,granitic-qtz,35.5999985,0,325806.564733000006527,6798171.099360000342131
-1,0,granitic-qtz,35.5999985,0,325806.649020000011660,6798171.045210000127554
-1,0,granitic-qtz,35.5999985,0,325806.783582000003662,6798170.896949999965727
-1,0,granitic-qtz,35.5999985,0,325806.858884999994189,6798170.824269999749959
-1,0,granitic-qtz,35.5999985,0,325806.915705999999773,6798170.748639999888837
-1,0,granitic-qtz,35.5999985,0,325806.991676000005100,6798170.703180000185966
-1,0,granitic-qtz,35.5999985,0,325807.024817000026815,6798170.684340000152588
-1,0,granitic-qtz,35.5999985,0,325807.088160999992397,6798170.635200000368059
-1,0,granitic-qtz,35.5999985,0,325807.189253000018653,6798170.596699999645352
-1,0,granitic-qtz,35.5999985,0,325807.233131000015419,6798170.566119999624789
-1,0,granitic-qtz,35.5999985,0,325807.319955000013579,6798170.498929999768734
-1,0,granitic-qtz,35.5999985,0,325807.447638000012375,6798170.425470000132918
-1,0,granitic-qtz,35.5999985,0,325807.544411999988370,6798170.383609999902546
-1,0,granitic-qtz,35.5999985,0,325807.699199999973644,6798170.277769999578595
-1,0,granitic-qtz,35.5999985,0,325807.833195000013802,6798170.192710000090301
-1,0,granitic-qtz,35.5999985,0,325807.939552000025287,6798170.098579999990761
-1,0,granitic-qtz,35.5999985,0,325808.070547999988776,6798169.972059999592602
-1,0,granitic-qtz,35.5999985,0,325808.157729000027757,6798169.883980000391603
-1,0,granitic-qtz,35.5999985,0,325808.273230999999214,6798169.720399999991059
-1,0,granitic-qtz,35.5999985,0,325808.366679000027943,6798169.559969999827445
-1,0,granitic-qtz,35.5999985,0,325808.399613999994472,6798169.484140000306070
-1,0,granitic-qtz,35.5999985,0,325808.431534999981523,6798169.410649999976158
-1,0,granitic-qtz,35.5999985,0,325808.507556000025943,6798169.290430000051856
-1,0,granitic-qtz,35.5999985,0,325808.578833999985363,6798169.180780000053346
-1,0,granitic-qtz,35.5999985,0,325808.634208999981638,6798169.052380000241101
-1,0,granitic-qtz,35.5999985,0,325808.691487999982201,6798168.979709999635816
-1,0,granitic-qtz,35.5999985,0,325808.756126999971457,6798168.909350000321865
-1,0,granitic-qtz,35.5999985,0,325808.839274999976624,6798168.839230000041425
-1,0,granitic-qtz,35.5999985,0,325809.035650999983773,6798168.736669999547303
-1,0,granitic-qtz,35.5999985,0,325809.219090999977197,6798168.662429999560118
-1,0,granitic-qtz,35.5999985,0,325809.402339000022039,6798168.578719999641180
-1,0,granitic-qtz,35.5999985,0,325809.495745999971405,6798168.540559999644756
-1,0,granitic-qtz,35.5999985,0,325809.582492000015918,6798168.478579999879003
-1,0,granitic-qtz,35.5999985,0,325809.760621000023093,6798168.363889999687672
-1,0,granitic-qtz,35.5999985,0,325809.908389999996871,6798168.257950000464916
-1,0,granitic-qtz,35.5999985,0,325810.040710999979638,6798168.144220000132918
-1,0,granitic-qtz,35.5999985,0,325810.201984999992419,6798168.019749999977648
-1,0,granitic-qtz,35.5999985,0,325810.338783000013791,6798167.903900000266731
-1,0,granitic-qtz,35.5999985,0,325810.411054999975022,6798167.851440000347793
-1,0,granitic-qtz,35.5999985,0,325810.491716000018641,6798167.760019999928772
-1,0,granitic-qtz,35.5999985,0,325810.547699999995530,6798167.713739999569952
-1,0,granitic-qtz,35.5999985,0,325810.615642999997362,6798167.669979999773204
-1,0,granitic-qtz,35.5999985,0,325810.741513999993913,6798167.632310000248253
-1,0,granitic-qtz,35.5999985,0,325810.953414999996312,6798167.580090000294149
-1,0,granitic-qtz,35.5999985,0,325811.094044999976177,6798167.497100000269711
-1,0,granitic-qtz,35.5999985,0,325811.223187999974471,6798167.388980000279844
-1,0,granitic-qtz,35.5999985,0,325811.358681000012439,6798167.266069999895990
-1,0,granitic-qtz,35.5999985,0,325811.499462999985553,6798167.149199999868870
-1,0,granitic-qtz,35.5999985,0,325811.614552000013646,6798167.054820000194013
-1,0,granitic-qtz,35.5999985,0,325811.729815000027884,6798166.965470000170171
-1,0,granitic-qtz,35.5999985,0,325811.772178000013810,6798166.923879999667406
-1,0,granitic-qtz,35.5999985,0,325811.893289000028744,6798166.891449999995530
-1,0,granitic-qtz,35.5999985,0,325812.033561000018381,6798166.855879999697208
-1,0,granitic-qtz,35.5999985,0,325812.159051999973599,6798166.811010000295937
